ano,mes,sexo,faixa_etaria,categoria,total_vendido
2014,12,2,IDOSO,ANTIDEPRESSIVO,28637
2014,12,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8810
2014,12,2,JOVEM_ADULTO,ANSIOLITICO,4864
2014,12,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4688
2014,12,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2022
2015,1,1,ADULTO_TRABALHADOR,ANSIOLITICO,40203
2015,1,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,34700
2015,1,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,18970
2015,1,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,31761
2015,1,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30792
2015,1,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,15724
2015,1,1,IDOSO,ANSIOLITICO,19476
2015,1,1,IDOSO,ANTIDEPRESSIVO,12569
2015,1,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,5995
2015,1,1,JOVEM_ADULTO,ANSIOLITICO,2777
2015,1,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2262
2015,1,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1952
2015,1,2,ADULTO_TRABALHADOR,ANSIOLITICO,77617
2015,1,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,70963
2015,1,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,21928
2015,1,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,24241
2015,1,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,28671
2015,1,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9728
2015,1,2,IDOSO,ANSIOLITICO,39759
2015,1,2,IDOSO,ANTIDEPRESSIVO,26695
2015,1,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8223
2015,1,2,JOVEM_ADULTO,ANSIOLITICO,4495
2015,1,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4266
2015,1,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1718
2015,2,1,ADULTO_TRABALHADOR,ANSIOLITICO,37025
2015,2,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,31871
2015,2,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,16809
2015,2,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,30591
2015,2,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29447
2015,2,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,14762
2015,2,1,IDOSO,ANSIOLITICO,17443
2015,2,1,IDOSO,ANTIDEPRESSIVO,10687
2015,2,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,5177
2015,2,1,JOVEM_ADULTO,ANSIOLITICO,2492
2015,2,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2169
2015,2,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1895
2015,2,2,ADULTO_TRABALHADOR,ANSIOLITICO,72378
2015,2,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,66562
2015,2,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,20169
2015,2,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,24442
2015,2,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,28346
2015,2,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,8968
2015,2,2,IDOSO,ANSIOLITICO,36131
2015,2,2,IDOSO,ANTIDEPRESSIVO,24177
2015,2,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,7456
2015,2,2,JOVEM_ADULTO,ANSIOLITICO,4191
2015,2,2,JOVEM_ADULTO,ANTIDEPRESSIVO,3674
2015,2,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1699
2015,3,1,ADULTO_TRABALHADOR,ANSIOLITICO,39943
2015,3,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,33924
2015,3,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,17692
2015,3,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,33159
2015,3,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,33569
2015,3,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,16718
2015,3,1,IDOSO,ANSIOLITICO,17613
2015,3,1,IDOSO,ANTIDEPRESSIVO,10879
2015,3,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,5251
2015,3,1,JOVEM_ADULTO,ANSIOLITICO,2863
2015,3,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2345
2015,3,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2007
2015,3,2,ADULTO_TRABALHADOR,ANSIOLITICO,77476
2015,3,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,72453
2015,3,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,21230
2015,3,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,28291
2015,3,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,33616
2015,3,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,10382
2015,3,2,IDOSO,ANSIOLITICO,37666
2015,3,2,IDOSO,ANTIDEPRESSIVO,25143
2015,3,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,7502
2015,3,2,JOVEM_ADULTO,ANSIOLITICO,4429
2015,3,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4398
2015,3,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1956
